"quality","radius","falling","offset_sign","offset_power","mu","gpu_status","gpu_phi","cpu_status","cpu_phi","raw_error"
"STANDARD","8.0","true","1","5","-0.9771372","1.0","10.875271","1","10.874773834917322","4.970085885371844E-4"
"STANDARD","8.0","true","-1","6","-0.97714823","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","true","1","6","-0.9771462","1.0","13.173395","1","13.163236331536439","0.010158825323912879"
"STANDARD","8.0","true","-1","7","-0.97714734","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","true","1","7","-0.9771471","1.0","15.2499","1","15.290107722095541","0.04020785789876413"
"STANDARD","1.0","true","-1","2","-0.7519355","0.0","1.0","0","NaN","NaN"
"STANDARD","1.0","true","1","2","-0.7319355","1.0","5.2115226","1","5.21151728507785","5.294115265286337E-6"
"STANDARD","1.0","true","-1","3","-0.7429355","0.0","1.0","0","NaN","NaN"
"STANDARD","1.0","true","1","3","-0.7409355","1.0","7.529179","1","7.5293372192478465","1.5812302592266292E-4"
"STANDARD","1.0","true","-1","4","-0.7420355","0.0","1.0","0","NaN","NaN"
"STANDARD","1.0","true","1","4","-0.7418355","1.0","9.833093","1","9.834635021211115","0.001542331696954946"
"STANDARD","1.0","true","-1","5","-0.7419455","0.0","1.0","0","NaN","NaN"
"STANDARD","1.0","true","1","5","-0.7419255","1.0","12.14038","1","12.137131110240835","0.0032487954598483526"
"STANDARD","1.0","true","-1","6","-0.7419365","0.0","1.0","0","NaN","NaN"
"STANDARD","1.0","true","1","6","-0.7419345","1.0","14.343447","1","14.43478638027596","0.09133964870857803"
"STANDARD","1.0","true","-1","7","-0.7419356","0.0","1.0","0","NaN","NaN"
"STANDARD","1.0","true","1","7","-0.7419354","2.0","1.0","1","16.633931580684155","NaN"
"STANDARD","0.7067775","true","-1","2","-0.6811601","0.0","1.0","0","NaN","NaN"
"STANDARD","0.7067775","true","1","2","-0.6611601","1.0","5.1004996","1","5.100471631324824","2.7998649541061127E-5"
"STANDARD","0.7067775","true","-1","3","-0.6721601","0.0","1.0","0","NaN","NaN"
"STANDARD","0.7067775","true","1","3","-0.6701601","1.0","7.4407735","1","7.440691627469925","8.185962113937961E-5"
"STANDARD","0.7067775","true","-1","4","-0.6712601","0.0","1.0","0","NaN","NaN"
"STANDARD","0.7067775","true","1","4","-0.6710601","1.0","9.752238","1","9.749689704641316","0.002548568979289456"
"STANDARD","0.7067775","true","-1","5","-0.6711701","0.0","1.0","0","NaN","NaN"
"STANDARD","0.7067775","true","1","5","-0.6711501","1.0","12.098987","1","12.052194956658713","0.04679166901267351"
"STANDARD","0.7067775","true","-1","6","-0.6711611","0.0","1.0","0","NaN","NaN"
"STANDARD","0.7067775","true","1","6","-0.6711591","1.0","14.936758","1","14.34486918456855","0.5918888568132861"
"STANDARD","0.7067775","true","-1","7","-0.6711602","0.0","1.0","0","NaN","NaN"
"STANDARD","0.7067775","true","1","7","-0.67116","1.0","15.467768","1","16.500129602964858","1.0323618875107563"
"STANDARD","0.35","true","-1","2","-0.5337132","0.0","1.0","0","NaN","NaN"
"STANDARD","0.35","true","1","2","-0.51371324","1.0","4.6447372","1","4.644648215844274","8.902780806963051E-5"
"STANDARD","0.35","true","-1","3","-0.5247132","0.0","1.0","0","NaN","NaN"
"STANDARD","0.35","true","1","3","-0.52271324","1.0","7.0414147","1","7.040260693478565","0.001154044222850814"
"STANDARD","0.35","true","-1","4","-0.52381325","0.0","1.0","0","NaN","NaN"
"STANDARD","0.35","true","1","4","-0.5236133","1.0","9.37327","1","9.361129236000972","0.012140798789067375"
"STANDARD","0.35","true","-1","5","-0.52372324","0.0","1.0","0","NaN","NaN"
"STANDARD","0.35","true","1","5","-0.5237032","1.0","11.933913","1","11.663120881650359","0.270792349245637"
"STANDARD","0.35","true","-1","6","-0.52371424","0.0","1.0","0","NaN","NaN"
"STANDARD","0.35","true","1","6","-0.5237122","1.0","14.611476","1","13.940251515531822","0.6712244289872213"
"STANDARD","0.35","true","-1","7","-0.52371335","0.0","1.0","0","NaN","NaN"
"STANDARD","0.35","true","1","7","-0.5237132","2.0","1.0","1","16.552907694865","NaN"
"FINE","8.0","false","-1","2","-0.9627407","0.0","1.0","0","NaN","NaN"
"FINE","8.0","false","1","2","-0.9427407","1.0","4.876457","1","4.87646583630396","8.621948491160936E-6"
"FINE","8.0","false","-1","3","-0.9537407","0.0","1.0","0","NaN","NaN"
"FINE","8.0","false","1","3","-0.9517407","1.0","7.011916","1","7.011915668157749","4.924257472893601E-7"
"FINE","8.0","false","-1","4","-0.9528407","0.0","1.0","0","NaN","NaN"
"FINE","8.0","false","1","4","-0.9526407","1.0","9.290437","1","9.290615984851431","1.7924016148995747E-4"
